Driver,Number,Team,Country,Points,Races Entered,Highest Finish
Lewis Hamilton,44,Mercedes,United Kingdom,4166,288,1
Valtteri Bottas,77,Mercedes,Finland,1738,178,1
Max Verstappen,33,Red Bull Racing,Netherlands,1557,141,1
Sergio Perez,11,Red Bull Racing,Mexico,896,214,1
Charles Leclerc,16,Ferrari,Monaco,560,81,1
Carlos Sainz,55,Ferrari,Spain,536,141,2
Lando Norris,4,McLaren,United Kingdom,306,60,2
Daniel Ricciardo,3,McLaren,Australia,1274,210,1
Esteban Ocon,31,Alpine,France,272,89,1
Fernando Alonso,14,Alpine,Spain,1980,336,1
Pierre Gasly,10,AlphaTauri,France,309,86,1
Yuki Tsunoda,22,AlphaTauri,Japan,32,22,4
Lance Stroll,18,Aston Martin,Canada,176,100,3
Sebastian Vettel,5,Aston Martin,Germany,3061,280,1
George Russell,63,Williams,United Kingdom,19,60,2
Nicholas Latifi,6,Williams,Canada,7,39,7
Kimi Raikkönen,7,Alfa Romeo,Finland,1873,352,1
Antonio Giovinazzi,99,Alfa Romeo,Italy,21,62,5
Mick Schumacher,47,Haas,Germany,0,22,12
Nikita Mazepin,9,Haas,RAF,0,21,14
Robert Kubica,88,Alfa Romeo,Poland,274,99,1
